,0,1
0,attendance,0.04699888773195358
1,blocks_away_team,0.02242042855734813
2,blocks_home_team,0.0210062568838141
3,clearances_away_team,0.05815654800516389
4,clearances_home_team,0.04602607223367158
5,corners_away_team,0.02261550587376804
6,corners_home_team,0.0243470376990487
7,crosses_away_team,0.03870359259761986
8,crosses_home_team,0.043953284768265266
9,fouls_away_team,0.0256188256617102
10,fouls_home_team,0.024120225554740023
11,free_kicks_away_team,0.024377833423703872
12,free_kicks_home_team,0.02498334717500864
13,handballs_away_team,0.011242496322457001
14,handballs_home_team,0.00929072114868391
15,offsides_away_team,0.019890735104104683
16,offsides_home_team,0.020529798035370753
17,penalties_away_team,0.00619814322631376
18,penalties_home_team,0.008467996547653078
19,red_cards_away_team,0.003821569590658154
20,red_cards_home_team,0.0056998996497071444
21,saves_away_team,0.0252864956098902
22,saves_home_team,0.0245165520361185
23,shots_off_target_away_team,0.021840483027201305
24,shots_off_target_home_team,0.02331510963211907
25,shots_on_target_away_team,0.05809974076368998
26,shots_on_target_home_team,0.0634561009901536
27,throw_ins_away_team,0.030564446131145874
28,throw_ins_home_team,0.036163295582789405
29,total_shots_away_team,0.03380105410986814
30,total_shots_home_team,0.032930945914324466
31,yellow_cards_away_team,0.015985360529608122
32,yellow_cards_home_team,0.01703810872316371
33,old away ELO,0.058052080961099525
34,old home ELO,0.05048102019806369
